,Ticker,2018-03-23
0,FISV,-52.11
1,AFL,-51.6
2,SIG,-25.63
3,BF_B,-23.65
4,LB,-22.99
5,ALB,-21.48
6,MAT,-20.49
7,ABBV,-17.93
8,GIS,-16.55
9,CF,-16.32
