,Ticker,2018-03-23,Sentiment,Polarity
0,FISV,-52.11,Neutral,0.087
1,AFL,-51.6,Neutral,0.193
2,SIG,-25.63,Neutral,0.005
3,BF_B,-23.65,Neutral,0.0
4,LB,-22.99,Neutral,0.0
5,ALB,-21.48,Neutral,0.0
6,MAT,-20.49,Neutral,0.068
7,ABBV,-17.93,Neutral,0.047
8,GIS,-16.55,Neutral,0.079
9,CF,-16.32,Neutral,0.093
